,0,Var_90
86,67697.15000000043,NaN
87,-87095.55000000005,NaN
88,-216968.14999999997,NaN
89,-164324.20000000013,NaN
90,-290967.8999999998,NaN
91,-426711.1999999998,NaN
92,403304.64999999985,NaN
93,-85526.60000000003,NaN
94,-394884.09999999974,NaN
95,-286640.95000000065,NaN
96,-239841.69999999978,NaN
97,177220.59999999971,NaN
98,166824.4000000003,NaN
99,-138946.94999999984,NaN
100,-366619.3499999999,NaN
101,-591543.5,NaN
102,-293390.0499999999,NaN
103,403018.8000000001,NaN
104,333611.4499999996,NaN
105,372634.85,NaN
106,158175.35000000006,NaN
107,81102.84999999942,NaN
108,-66832.64999999979,NaN
109,-220309.10000000038,NaN
110,196161.2000000003,NaN
111,253952.95000000007,NaN
112,-266154.15,NaN
113,-171912.89999999988,NaN
114,-56589.74999999972,NaN
115,-150322.9500000004,NaN
116,-146980.94999999984,NaN
117,-127319.49999999988,NaN
118,-61987.94999999997,NaN
119,168267.80000000028,NaN
120,-47969.50000000012,NaN
121,-58534.750000000146,NaN
122,90915.3500000003,NaN
123,42089.449999999575,NaN
124,-163748.05,NaN
125,57915.80000000015,NaN
126,13720.249999999825,NaN
127,143039.35000000038,NaN
128,-175134.04999999993,NaN
129,60153.60000000009,NaN
130,179823.34999999966,NaN
131,-144906.24999999997,NaN
132,124489.05000000002,NaN
133,153886.1499999999,NaN
134,81163.90000000002,NaN
135,-137164.74999999988,NaN
136,99849.89999999994,NaN
137,-10440.699999999808,NaN
138,31655.19999999978,NaN
139,-160259.60000000015,NaN
140,-141668.50000000006,NaN
141,-140488.20000000007,NaN
142,71081.29999999967,NaN
143,89921.65,NaN
144,32657.999999999884,NaN
145,168057.25000000035,NaN
146,148152.54999999946,NaN
147,102982.4000000003,NaN
148,23770.500000000247,NaN
149,-300333.05000000045,NaN
150,-78509.04999999935,NaN
151,-153717.35000000027,NaN
152,-64187.15000000014,NaN
153,141515.1999999997,NaN
154,-111114.49999999953,NaN
155,99867.1499999999,NaN
156,20008.699999999953,NaN
157,-106381.0999999998,NaN
158,-86177.75000000035,NaN
159,-173049.85,NaN
160,-77296.15000000008,NaN
161,54941.05000000028,NaN
162,101252.74999999983,NaN
163,101112.9499999994,NaN
164,193409.85000000027,NaN
165,-170958.95000000036,NaN
166,-71979.89999999995,NaN
167,-55757.149999999674,NaN
168,-70360.49999999942,NaN
169,84189.24999999965,NaN
170,124341.00000000041,NaN
171,-59527.05,NaN
172,-17649.450000000405,NaN
173,28511.89999999995,NaN
174,54049.550000000105,NaN
175,-75776.30000000041,NaN
176,-148694.94999999972,NaN
177,-58374.39999999947,NaN
178,19791.999999999884,NaN
179,-38272.29999999984,NaN
180,5564.549999999901,NaN
181,77680.55000000037,NaN
182,-121720.89999999997,NaN
183,-39015.299999999406,NaN
184,-66776.2000000003,NaN
185,-127423.74999999983,NaN
186,89383.50000000041,NaN
187,-120688.9499999998,NaN
188,116334.34999999992,NaN
189,-121137.60000000033,NaN
190,123855.24999999971,NaN
191,167792.5499999998,NaN
192,83492.30000000002,NaN
193,100430.3000000003,NaN
194,47751.34999999963,NaN
195,12671.350000000006,NaN
196,126096.29999999987,NaN
197,270182.5,NaN
198,-96692.05000000013,NaN
199,11590.20000000039,NaN
200,198755.35000000044,NaN
201,139137.65000000055,NaN
202,-295246.0500000002,NaN
203,146585.40000000014,NaN
204,56739.4000000002,NaN
205,200358.4000000002,NaN
206,193363.74999999974,NaN
207,65852.35000000021,NaN
208,5771.75,NaN
209,70057.15000000008,NaN
210,120688.55000000009,NaN
211,-153431.8000000002,NaN
